ID	sentence	source	edge	target	distance	category	comments
cf21.mrg-or-1-0		(g / generate-01)	:ARG1	(w / wave)	6	object relative	
cf03.mrg-or-3-1		(s / see-01)	:ARG1	(c / continuity)	7	object relative	
cf22.mrg-or-1-2		(b / begin-01)	:ARG1	(j / job)	8	object relative	
cf23.mrg-or-2-3		(a / and :op1 (p / praise-01) :op2 (m / mourn-01))	:ARG1	(e / event)	4	object relative	"or (e / event  :name (n / name :op1 ""Hungarian"" :op2 ""Revolution"")) "
cf23.mrg-or-2-4		(d / do-02)	:ARG2	(e / event) 	10	object relative	"or (e / event  :name (n / name :op1 ""Hungarian"" :op2 ""Revolution"")) "
cg20.mrg-or-1-5		(p / play-02)	:ARG1	(r / role)	7	object relative	
cg21.mrg-or-2-6		(f / find-01)	:ARG1	(p / position-01)	4	object relative	or 6 (to ’n’)
ck02.mrg-or-2-7		(s / see-01)	:ARG1	(s / stream)	4	object relative	or is it stream-thing?
cl01.mrg-or-1-8		(t / tell-01)	:ARG1	(t2 / thing)	6	object relative	
cl01.mrg-or-3-9		(p / put-01) (r / rehearse-01)	:ARG1	(p / play-11) (t / turkey)	20	object relative	up to 25
cl02.mrg-or-1-10		(g / give-01)	:ARG1	(k / key)	7	object relative	
cm03.mrg-or-2-11		(r / ratify-01)	:ARG1	(p / principle)	7	object relative	
cp21.mrg-or-1-12		(c / covet-01)	:ARG1	(k / knife)	4	object relative	
cp21.mrg-or-1-13		(h / have-03)	:ARG1	(k / knife)	15	object relative	
cf21.mrg-sr-2-14		(c / close-01)	:ARG0	(o / oscillate-01)	7	subject relative	
cf21.mrg-sr-4-15		(e / equip-01)	:ARG1	(s / station)	6	subject relative	
cl10.mrg-sr-3-16		(g / give-01) (l / love-01)	:ARG0	(w / woman)	5	subject relative	
cp10.mrg-sr-1-17		(t / twist-01) (t / twist-01 :ARG1 (t2 / thing))	:ARG0	(l / leap-03)	5	subject relative	
cp10.mrg-sr-1-18		(t / twist-01) (t / twist-01 :ARG1 (t2 / thing))	:ARG0	(s / smack-02)	10	subject relative	
cr07.mrg-sr-1-19		(f / fun-01)	:ARG1	(s / something)	5	subject relative	
cr07.mrg-sr-1-20		(d / do-02)	:ARG0	(s / something)	9	subject relative	
cf21.mrg-ofr-1-0		(k / know-01)	:ARG1	(t / thing)	3	object free relative	
cf23.mrg-ofr-1-1		(d / do-02)	:ARG1	(t / thing)	16	object free relative	
cf06.mrg-ofr-1-2		(h / have-03)	:ARG1	(w / whatever)	2	object free relative	
cf09.mrg-ofr-1-3		(d / do-02)	:ARG1	(t / thing)	4	object free relative	
cg21.mrg-ofr-3-4		(d / do-02)	:ARG1	(t / thing)	5	object free relative	
