ID	sentence	source	edge	target	distance	dependency label	comment	category
cf03.mrg-or0-2	Skeptics may deny the more startling phenomena of dreams as things they have never personally observed , but failure to wonder at their basic mystery is outright avoidance of routine evidence .	(o / observe-01)	:ARG1	(t / thing)	5	dobj		object relative with null complementizer
cf22.mrg-or0-1	Undoubtedly none of the residents realize the influence their town has had on American military history , or the deeds of valor that have been done in its name .	(h / have-03)	:ARG1	(i / influence-01)	4	dobj		object relative with null complementizer
cf22.mrg-or0-2	The truth is , however , that when Mel Chandler first reported to the regiment the only steed he had ever ridden was a swivel chair and the only weapon he had ever wielded was a pencil .	(r / ride-01)	:ARG1	(s2 / steed)	4	dobj		object relative with null complementizer
cf22.mrg-or0-2	The truth is , however , that when Mel Chandler first reported to the regiment the only steed he had ever ridden was a swivel chair and the only weapon he had ever wielded was a pencil .	(w / wield-01)	:ARG1	(w2 / weapon)	4	dobj		object relative with null complementizer
cf22.mrg-or0-4 	There was no weapon Early could not take apart and reassemble blind-folded .	(d / disassemble-01)	:ARG1	(w / weapon)	4	dobj	"No 1:1 frame for ""take apart"" - chose ""disassemble-01"""	object relative with null complementizer
cf22.mrg-or0-4 	There was no weapon Early could not take apart and reassemble blind-folded .	(d / reassemble-01)	:ARG1	(w / weapon)	7	dobj		object relative with null complementizer
cg21.mrg-or0-1	One of the obvious conclusions we can make on the basis of the last election , I suppose , is that we , the majority , were dissatisfied with Eisenhower conservatism .	(m / make-01)	:ARG1	(c / conclusion)	3	dobj		object relative with null complementizer
cg22.mrg-or0-1	Have not our physical abilities already deteriorated because of the more sedentary lives we are now living ? ?	(l / live-01)	:ARG1	(l2 / life)	4	dobj		object relative with null complementizer
ck10.mrg-or0-2 	He is throttling the liberty my father gave his life to win ! !	(w / win-01)	:ARG5	(l / liberty)	7	dobj		object relative with null complementizer
ck01.mrg-or0-1	It required an energy he no longer possessed to be satirical about his father .	(p / possess-01)	:ARG1	(e / energy)	4	dobj		object relative with null complementizer
