ID	comments
anna_bert.tsv-0	
anna_bert.tsv-1	
anna_bert.tsv-2	
anna_bert.tsv-3	
anna_bert.tsv-4	
anna_bert.tsv-5	
anna_bert.tsv-6	
anna_bert.tsv-7	
anna_bert.tsv-8	
anna_bert.tsv-9	
anna_bert.tsv-10	
anna_bert.tsv-11	
anna_bert.tsv-12	
anna_bert.tsv-13	
anna_bert.tsv-14	duplicate (see sentence 29)
anna_bert.tsv-15	
anna_bert.tsv-16	
anna_bert.tsv-17	
anna_bert.tsv-18	
anna_bert.tsv-19	
anna_bert.tsv-20	
anna_bert.tsv-21	add preposition?
anna_bert.tsv-22	
anna_bert.tsv-23	add preposition?
anna_bert.tsv-24	
anna_bert.tsv-25	
anna_bert.tsv-26	
anna_bert.tsv-27	
anna_bert.tsv-28	
anna_bert.tsv-29	
chris_annotation_BM_54-95.tsv-54	
chris_annotation_BM_54-95.tsv-55	
chris_annotation_BM_54-95.tsv-56	
chris_annotation_BM_54-95.tsv-57	
chris_annotation_BM_54-95.tsv-58	
chris_annotation_BM_54-95.tsv-59	
chris_annotation_BM_54-95.tsv-60	
chris_annotation_BM_54-95.tsv-61	
chris_annotation_BM_54-95.tsv-62	
chris_annotation_BM_54-95.tsv-63	
chris_annotation_BM_54-95.tsv-64	
chris_annotation_BM_54-95.tsv-65	
chris_annotation_BM_54-95.tsv-66	
chris_annotation_BM_54-95.tsv-67	
chris_annotation_BM_54-95.tsv-68	
chris_annotation_BM_54-95.tsv-69	
chris_annotation_BM_54-95.tsv-70	
chris_annotation_BM_54-95.tsv-71	
chris_annotation_BM_54-95.tsv-72	
chris_annotation_BM_54-95.tsv-73	
chris_annotation_BM_54-95.tsv-74	
chris_annotation_BM_54-95.tsv-75	
chris_annotation_BM_54-95.tsv-76	
chris_annotation_BM_54-95.tsv-77	
chris_annotation_BM_54-95.tsv-78	
chris_annotation_BM_54-95.tsv-79	
chris_annotation_BM_54-95.tsv-80	
chris_annotation_BM_54-95.tsv-81	
chris_annotation_BM_54-95.tsv-82	
chris_annotation_BM_54-95.tsv-83	
chris_annotation_BM_54-95.tsv-84	
chris_annotation_BM_54-95.tsv-85	
chris_annotation_BM_54-95.tsv-86	
chris_annotation_BM_54-95.tsv-87	
chris_annotation_BM_54-95.tsv-88	
chris_annotation_BM_54-95.tsv-89	
chris_annotation_BM_54-95.tsv-90	
chris_annotation_BM_54-95.tsv-91	
chris_annotation_BM_54-95.tsv-92	
chris_annotation_BM_54-95.tsv-93	
chris_annotation_BM_54-95.tsv-94	
chris_annotation_BM_54-95.tsv-95	
Maria_Bertsmouth1.tsv-0	
Maria_Bertsmouth1.tsv-1	
Maria_Bertsmouth1.tsv-2	
Maria_Bertsmouth1.tsv-3	
Maria_Bertsmouth1.tsv-4	
Maria_Bertsmouth1.tsv-5	
Maria_Bertsmouth1.tsv-6	
Maria_Bertsmouth1.tsv-7	
Maria_Bertsmouth1.tsv-8	
Maria_Bertsmouth1.tsv-9	
Maria_Bertsmouth1.tsv-10	
Maria_Bertsmouth1.tsv-11	
Maria_Bertsmouth1.tsv-12	
Maria_Bertsmouth1.tsv-13	
Maria_Bertsmouth1.tsv-14	
Maria_Bertsmouth1.tsv-15	
Maria_Bertsmouth1.tsv-16	
Maria_Bertsmouth1.tsv-17	
Maria_Bertsmouth1.tsv-18	
Maria_Bertsmouth1.tsv-19	
Maria_Bertsmouth1.tsv-20	
Maria_Bertsmouth1.tsv-21	
Maria_Bertsmouth1.tsv-22	
