DF-200-192400-625_7806.6	(g / good-02 :ARG2-of (h / have-degree-91 :ARG3 (m / most)))
PROXY_NYT_ENG_20020406_0118.5	(s3 / south :direction-of (r2 / relative-position))
PROXY_NYT_ENG_20050716_0171.41	(m / mark-02 :ARG2 (w2 / weapon))
PROXY_LTW_ENG_20070831_0072.9	(f / find-01 :ARG1 (t / thing))
PROXY_LTW_ENG_20070831_0072.9	(o / official :ARG2-of (h / have-org-role-91 :ARG0 (p2 / person)))
bolt12_6455_6566.1	(t2 / too :ARG3-of (h / have-degree-91))
DF-200-192400-625_7200.5	(k / know-01 :ARG1 (t / thing))
NW_AFP_ENG_0015_2003_0514.6	(m / minister :ARG2-of (h2 / have-org-role-91 :ARG0 (p2 / person)))
NW_XIN_ENG_0209_2008_0513.16	(d / die-01 :ARG1 (p2 / person))
nw.chtb_0322.12	(g / good-02 :ARG2-of (h / have-degree-91 :ARG3 (m / more)))
PROXY_NYT_ENG_20081008_0040.22	(e2 / evidence-01 :ARG0 (t / thing))
NW_XIN_ENG_0192_2005_0906.4	(s2 / supervise-01 :ARG0 (p2 / person :poss-of (o2 / organization)))
NW_XIN_ENG_0192_2005_0906.4	(m / member :ARG2-of (h2 / have-org-role-91 :ARG0 (p3 / person)))
NW_XIN_ENG_0192_2005_0906.4	(x9 / 1000 :op1-of (m4 / multiple))
NW_XIN_ENG_0192_2005_0906.4	(o / official :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
nw.chtb_0305.6	(r / result-01 :ARG2 (t / thing))
PROXY_NYT_ENG_20050716_0171.55	(s / strategize-01 :ARG3-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_NYT_ENG_20050716_0171.55	(e / equal :polarity (x1 / -) :mod-of (p2 / person))
PROXY_NYT_ENG_20050716_0171.55	(w / weak-02 :ARG2-of (h2 / have-degree-91 :ARG3 (m2 / more)))
PROXY_LTW_ENG_20070831_0072.23	(d / director :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_LTW_ENG_20070831_0072.23	(g2 / govern-01 :ARG0 (g / government-organization))
PROXY_LTW_ENG_20070831_0072.4	(o2 / official :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_LTW_ENG_20070831_0072.4	None
PROXY_XIN_ENG_20021123_0156.15	(m / member :ARG2-of (h / have-org-role-91))
DF-200-192400-625_7046.15	(a / achieve-01 :ARG1 (t / thing))
DF-200-192400-625_7046.15	(s2 / study-01 :ARG1 (t2 / thing))
DF-200-192400-625_7046.15	(c / cause-01 :ARG0 (t3 / thing))
DF-200-192400-625_7046.15	(m2 / mum :ARG2-of (h / have-rel-role-91 :ARG0 (p / person)))
DF-200-192400-625_6677.10	None
ENG_NA_020001_20161020_G0023FSVF_0001.4	(h / have-03 :ARG0 (p / person))
NW_XIN_ENG_0193_2006_0822.9	(m / minister :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
NW_XIN_ENG_0193_2006_0822.11	(g2 / govern-01 :ARG0 (g / government-organization))
NW_AFP_ENG_0016_2003_0527.5	(d / definite :polarity (x2 / -))
NW_AFP_ENG_0016_2003_0527.5	(m / minister :ARG2-of (h2 / have-org-role-91))
PROXY_LTW_ENG_20070930_0021.25	(m / most :ARG3-of (h / have-degree-91))
wb.eng_0003.58	(g / grandmother :ARG2-of (h / have-rel-role-91 :ARG0 (p / person :poss-of (l / location))))
PROXY_LTW_ENG_20070831_0072.6	(a / and :op1 (p / person))
PROXY_LTW_ENG_20070831_0072.6	(o2 / official :ARG2-of (h2 / have-org-role-91 :ARG0 (p2 / person)))
PROXY_XIN_ENG_20020701_0314.7	(c3 / chief :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_XIN_ENG_20020701_0314.7	(g2 / govern-01 :ARG0 (g / government-organization))
PROXY_XIN_ENG_20020701_0314.7	(p3 / president :ARG2-of (h2 / have-org-role-91 :ARG0 (p2 / person)))
PROXY_XIN_ENG_20020701_0314.7	(l / law :polarity (x8 / -))
ENG_NA_020001_20161020_G0023FSW4_0001.6	(d / die-01 :ARG1-of (c / cause-01))
PROXY_NYT_ENG_20020406_0118.6	(o / official :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_XIN_ENG_20040403_0262.13	(g2 / govern-01 :ARG0 (g / government-organization))
PROXY_NYT_ENG_20071115_0274.17	(d / diplomat :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_NYT_ENG_20071115_0274.17	(m / member :ARG2-of (h2 / have-org-role-91 :ARG0 (s3 / state)))
wb.eng_0003.91	None
PROXY_NYT_ENG_20081128_0005.5	(p4 / price-01 :ARG2 (t / thing))
PROXY_XIN_ENG_20030428_0226.5	(m / minister :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_XIN_ENG_20030428_0226.5	(l / lead-02 :ARG0 (p2 / person))
PROXY_NYT_ENG_20050716_0171.31	(o / official :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_NYT_ENG_20050716_0171.31	(g2 / govern-01 :ARG0 (g / government-organization))
PROXY_NYT_ENG_20040724_0084.3	(g2 / govern-01 :ARG0 (g / government-organization))
nw.chtb_0318.8	(c3 / compete-01 :prep-as (p / person))
bolt12_91455_5327.1	(s / score-01 :ARG1 (p / person))
PROXY_NYT_ENG_20040724_0084.16	(g2 / govern-01 :ARG0 (g / government-organization))
PROXY_NYT_ENG_20040724_0084.16	(g4 / govern-01 :ARG0 (g3 / government-organization))
PROXY_NYT_ENG_20040724_0084.17	(m / minister :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
nw.chtb_0324.6	(c / compete-01 :ARG0 (p / person))
nw.chtb_0324.6	(l / low-04 :ARG2-of (h / have-degree-91 :ARG3 (m / more)))
NW_XIN_ENG_0198_2008_1218.5	(d / day :mod (t / that))
DF-200-192400-625_6344.24	(h2 / have-org-role-91 :ARG2 (m / member))
bolt12_6455_6561.12	(y / young :ARG2-of (h / have-degree-91 :ARG3 (m2 / more)))
DF-200-192400-625_7744.17	(m / more :ARG3-of (h / have-degree-91 :ARG2 (b / bad-05)))
DF-200-192400-625_7744.17	(w / worry-02 :ARG0 (y / you) :mode (i / imperative))
PROXY_NYT_ENG_20081128_0005.4	(p4 / price-01 :ARG2 (t / thing))
PROXY_XIN_ENG_20041010_0024.4	(c2 / chancellor :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_XIN_ENG_20041010_0024.4	(g2 / govern-01 :ARG0 (g / government-organization))
PROXY_XIN_ENG_20041010_0024.4	(l / lead-02 :ARG0 (p2 / person))
PROXY_NYT_ENG_20070828_0223.9	(p2 / president :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_XIN_ENG_20030428_0226.18	(m2 / minister :ARG2-of (h / have-org-role-91 :ARG0 (p2 / person)))
DF-200-192400-625_7744.16	(m3 / more :ARG3-of (h3 / have-degree-91))
DF-200-192400-625_7744.16	(v / visit-01 :mode (i2 / imperative))
DF-200-192400-625_7744.16	(d2 / doctor :ARG2-of (h5 / have-rel-role-91 :ARG0 (p / person)))
DF-200-192400-625_7744.16	(e / easy-05 :ARG2-of (h / have-degree-91 :ARG3 (m2 / more)))
PROXY_NYT_ENG_20040724_0084.21	(o / official :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
PROXY_NYT_ENG_20040724_0084.21	(a / apply-02 :polarity (x1 / -) :ARG1-of (p3 / possible-01))
ENG_DF_000170_20050903_C00020J0V_0001.37	(a2 / and :op2 (p3 / person))
ENG_DF_000170_20050903_C00020J0V_0001.37	(b / boyfriend :ARG2-of (h / have-rel-role-91 :ARG0 (p2 / person)))
NW_XIN_ENG_0209_2008_0513.7	(d / daughter :ARG2-of (h3 / have-rel-role-91 :ARG0 (p / person)))
NW_XIN_ENG_0209_2008_0513.3	(s / survive-01 :ARG0 (p / person))
DF-200-192400-625_6304.23	(d / doctor :ARG2-of (h / have-rel-role-91 :ARG0 (p / person)))
NW_XIN_ENG_0191_2005_0405.14	(m / miss-01 :ARG1 (p / person))
NW_XIN_ENG_0191_2005_0405.14	(r2 / rescue-01 :ARG0 (p2 / person))
bolt12_91455_5328.1	(h / haha :mode (e / expressive))
DF-199-194215-653_0484.24	None
DF-200-192400-625_6344.30	(f / friend :ARG2-of (h2 / have-rel-role-91 :ARG0 (p2 / person)))
ENG_NA_020001_20161020_G0023FSUL_0001.5	(c / clear-06 :polarity (x1 / -))
DF-200-192400-625_6344.8	(t / teach-01 :ARG0 (p / person))
PROXY_NYT_ENG_20071115_0274.11	(m2 / member :ARG2-of (h / have-org-role-91))
NW_AFP_ENG_0013_2003_0427.5	(b / bishop :ARG2-of (h / have-org-role-91 :ARG0 (p / person)))
NW_AFP_ENG_0013_2003_0427.5	(j / judge-01 :ARG0 (p2 / person))
bolt12_6455_6562.15	(p / protect-01 :ARG0 (y / you) :mode (i2 / imperative))
nw.chtb_0302.2	(p4 / premier :ARG2-of (h2 / have-org-role-91))
nw.chtb_0302.2	(m3 / minister :ARG2-of (h3 / have-org-role-91))
nw.chtb_0302.2	(c / chairman :ARG2-of (h / have-org-role-91))
nw.chtb_0302.2	(g3 / govern-01 :ARG0 (g2 / government-organization))
NW_XIN_ENG_0192_2005_0906.10	(h3 / have-degree-91 :ARG3 (e2 / equal))
