ID	sentence	source	edge	target	distance	category	comment
cf21.mrg-or-1	We have also developed techniques for recognizing and locating underground nuclear tests through the waves in the ground which they generate .	(g / generate-01)	:ARG1	(w / wave)	6	object relative	
cf03.mrg-or-3	But these are dreamed in original action , in some particular continuity which we don't remember having seen in real life .	(s / see-01)	:ARG1	(c / continuity)	7	object relative	
cf22.mrg-or-1	That finished the job that Captain Chandler and Lieutenant Carroll had begun .	(b / begin-01)	:ARG1	(j / job)	8	object relative	
cf23.mrg-or-2	There was the Hungarian Revolution which we praised and mourned , but did nothing about .	(a / and :op1 (p / praise-01) :op2 (m / mourn-01))	:ARG1	(e / event)	4	object relative	"or (e / event  :name (n / name :op1 ""Hungarian"" :op2 ""Revolution"")) "
cf23.mrg-or-2	There was the Hungarian Revolution which we praised and mourned , but did nothing about .	(d / do-02)	:ARG2	(e / event) 	10	object relative	"or (e / event  :name (n / name :op1 ""Hungarian"" :op2 ""Revolution"")) "
cg20.mrg-or-1	Great stress is placed on the role that the monitoring of information sending plays in maintaining the effectiveness of the network .	(p / play-02)	:ARG1	(r / role)	7	object relative	
cg21.mrg-or-2	This is important to understanding the position that doctrinaire liberals found themselves in after World War 2 , and our great democratic victory that brought no peace .	(f / find-01)	:ARG1	(p / position-01)	4	object relative	or 6 (to ’n’)
ck02.mrg-or-2	He could also hear the stream which he had seen from his position .	(s / see-01)	:ARG1	(s / stream)	4	object relative	or is it stream-thing?
cl01.mrg-or-1	""" There are things about me that I can't tell you now , Mary Jane "" , I said , "" but if you'll go out to dinner with me when I get out of Hanover , I'd like to tell you the whole story . """	(t / tell-01)	:ARG1	(t2 / thing)	6	object relative	
cl01.mrg-or-3	It was a bad play , real grade-A turkey , which only a prevalence of angels with grandiose dreams of capital gain and tax money to burn could have put into rehearsal .	(p / put-01) (r / rehearse-01)	:ARG1	(p / play-11) (t / turkey)	20	object relative	up to 25
cl02.mrg-or-1	I took another sidelong glance at the other registration card , then took the key to Unit 13 that she had given me and went down long enough to park the car .	(g / give-01)	:ARG1	(k / key)	7	object relative	
cm03.mrg-or-2	The simple treaty principle that Gabriel was asking him to ratify , in short , was nothing less than total trust .	(r / ratify-01)	:ARG1	(p / principle)	7	object relative	
cp21.mrg-or-1	Two days before he was taken sick , Cousin Elec was out worrying about what too much rain might do to his sweetpeas , and Cousin Elec had always preserved in the top drawer of his secretary a mother-of-pearl paper knife which Theresa had coveted as a child and which he had promised she could have when he died .	(c / covet-01)	:ARG1	(k / knife)	4	object relative	
cp21.mrg-or-1	Two days before he was taken sick , Cousin Elec was out worrying about what too much rain might do to his sweetpeas , and Cousin Elec had always preserved in the top drawer of his secretary a mother-of-pearl paper knife which Theresa had coveted as a child and which he had promised she could have when he died .	(h / have-03)	:ARG1	(k / knife)	15	object relative	
cf21.mrg-sr-2	But when waves with a period of between 10 and 40 minutes begin to roll over the ocean , they set in motion a corresponding oscillation in a column of mercury which closes an electric circuit .	(c / close-01)	:ARG0	(o / oscillate-01)	7	subject relative	
cf21.mrg-sr-4	This center also receives prompt reports on earthquakes from four Coast Survey stations in the Pacific which are equipped with seismographs .	(e / equip-01)	:ARG1	(s / station)	6	subject relative	
cl10.mrg-sr-3	Indeed , there was a woman who , unasked , had already given him love .	(g / give-01) (l / love-01)	:ARG0	(w / woman)	5	subject relative	
cp10.mrg-sr-1	There was the freshness of color , the freedom of perception , the lack of self-consciousness , but with a twist that made the forms leap from the page and smack you in the eye .	(t / twist-01) (t / twist-01 :ARG1 (t2 / thing))	:ARG0	(l / leap-03)	5	subject relative	
cp10.mrg-sr-1	There was the freshness of color , the freedom of perception , the lack of self-consciousness , but with a twist that made the forms leap from the page and smack you in the eye .	(t / twist-01) (t / twist-01 :ARG1 (t2 / thing))	:ARG0	(s / smack-02)	10	subject relative	
cr07.mrg-sr-1	I know something that is much more fun that we can do on our little lawn .	(f / fun-01)	:ARG1	(s / something)	5	subject relative	
cr07.mrg-sr-1	I know something that is much more fun that we can do on our little lawn .	(d / do-02)	:ARG0	(s / something)	9	subject relative	
