I	Sentence	AMR	Comment
54	The event is in January.	(b / be-temporally-at-91       :ARG1 (e / event)       :ARG2 (d / date-entity :month 1))
55	The dinner is on the table.	(b / be-located-at-91       :ARG1 (d / dinner)       :ARG2 (o / on             :op1 (t / table)))
56	The dinner is on the stove.	(b / be-located-at-91       :ARG1 (d / dinner)       :ARG2 (o / on             :op1 (s / stove)))
57	The dinner is on the counter.	(b / be-located-at-91       :ARG1 (d / dinner)       :ARG2 (o / on             :op1 (c / counter)))
58	The dinner is on the plate.	(b / be-located-at-91       :ARG1 (d / dinner)       :ARG2 (o / on             :op1 (p / plate)))
59	The dinner is on Sunday.	(b / be-temporally-at-91       :ARG1 (d / dinner)       :ARG2 (d2 / date-entity :weekday "sunday"))
60	The dinner is on Monday.	(b / be-temporally-at-91       :ARG1 (d / dinner)       :ARG2 (d2 / date-entity :weekday "monday"))
61	The dinner is on Tuesday.	(b / be-temporally-at-91       :ARG1 (d / dinner)       :ARG2 (d2 / date-entity :weekday "tuesday"))
62	The dinner is on Wednesday.	(b / be-temporally-at-91       :ARG1 (d / dinner)       :ARG2 (d2 / date-entity :weekday "wednesday"))
63	The dinner is on Saturday.	(b / be-temporally-at-91       :ARG1 (d / dinner)       :ARG2 (d2 / date-entity :weekday "saturday"))
64	I will run the study.	(r / run-01       :ARG0 (i / i)       :ARG1 (s / study))
65	I will run the restaurant.	(r / run-01       :ARG0 (i / i)       :ARG1 (r2 / restaurant))
66	I will run the store.	(r / run-01       :ARG0 (i / i)       :ARG1 (s / store))
67	I will run the lab.	(r / run-01       :ARG0 (i / i)       :ARG1 (l / lab))
68	I will run the shop.	(r / run-01       :ARG0 (i / i)       :ARG1 (s / shop))
69	I will run the business.	(r / run-01       :ARG0 (i / i)       :ARG1 (b / business))
70	I will run the race.	(r / run-02       :ARG0 (i / i)       :ARG1 (r2 / race))
71	I will run the marathon.	(r / run-02       :ARG0 (i / i)       :ARG1 (m / marathon))
72	I will run the course.	(r / run-02       :ARG0 (i / i)       :ARG1 (c / course))
73	I will run the trail.	(r / run-02       :ARG0 (i / i)       :ARG1 (t / trail))
74	I will run the mile.	(r / run-02       :ARG0 (i / i)       :ARG1 (d / distance-quantity :quant 1             :unit (m / mile)))
75	I started the car.	(s / start-01       :ARG0 (i / i)       :ARG1 (c / car))
76	I started truck.	(s / start-01       :ARG0 (i / i)       :ARG1 (t / truck))
77	I started the engine.	(s / start-01       :ARG0 (i / i)       :ARG1 (e / engine))
78	I started the bus.	(s / start-01       :ARG0 (i / i)       :ARG1 (b / bus))
79	I started the boat. 	(s / start-01       :ARG0 (i / i)       :ARG1 (b / boat))
80	I started the book.	(s / start-01       :ARG0 (i / i)       :ARG1 (b / book))
81	I started the journal.	(s / start-01       :ARG0 (i / i)       :ARG1 (j / journal))
82	I started the magazine.	(s / start-01       :ARG0 (i / i)       :ARG1 (m / magazine))
83	I started the movie.	(s / start-01       :ARG0 (i / i)       :ARG1 (m / movie))
84	I started the episode.	(s / start-01       :ARG0 (i / i)       :ARG1 (e / episode))
85	I ate salad with a fork.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :instrument (f / fork))
86	I ate salad with a spoon.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :instrument (s2 / spoon))
87	I ate salad with a knife.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :instrument (k / knife))
88	I ate salad with enthusiasm.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :manner (e2 / enthusiastic-03))
89	I ate salad with enjoyment.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :manner (e2 / enjoy-01))
90	I ate salad with gusto.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :manner (g / gusto))
91	I ate salad with pleasure.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :manner (p / please-01))
92	I ate salad with him.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :accompanier (h / he))
93	I ate salad with John.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :accompanier (p / person :name "John"))
94	I ate salad with Lisa.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :accompanier (p / person :name "Lisa"))
95	I ate salad with her.	(e / eat-01       :ARG0 (i / i)       :ARG1 (s / salad)       :accompanier (s2 / she))
