sentence	graph	comment
The clip is about a horse.	(c / clip :topic (h / horse))
The clip is about a queen.	(c / clip :topic (q / queen))
The clip is about a cat.	(c / clip :topic (c2 / cat))
The clip is about a king.	(c / clip :topic (k / king))
The clip is about a prince.	(c / clip :topic (p / prince))
The clip is about an hour.	(c / clip :duration (a / about :op1 (t / temporal-quantity :quant 1 :unit (h / hour))))
The clip is about a minute.	(c / clip :duration (a / about :op1 (t / temporal-quantity :quant 1 :unit (h / hour))))
The clip is about a second.	(c / clip :duration (a / about :op1 (t / temporal-quantity :quant 1 :unit (s / second))))
It lasted for hours.	(l / last-01 :ARG2 (t / temporal-quantity :unit (h / hour)))
It lasted for decades.	(l / last-01 :ARG2 (t / temporal-quantity :unit (d / decade)))
It lasted for weeks.	(l / last-01 :ARG2 (t / temporal-quantity :unit (w / week)))
It lasted for months.	(l / last-01 :ARG2 (t / temporal-quantity :unit (m / month)))
It lasted for seconds.	(l / last-01 :ARG2 (t / temporal-quantity :unit (s / second)))
The book is for Lisa.	(b / book :beneficiary (p / person :name (n / name :op1 "Lisa")))
The book is for John.	(b / book :beneficiary (p / person :name (n / name :op1 "John")))
The book is for him.	(b / book :beneficiary (h / he ))
The book is for her.	(b / book :beneficiary (s / she ))
The book is for me.	(b / book :beneficiary (i / i ))
The book is for reading.	(b / book :purpose (r / read-01))
The book is for learning.	(b / book :purpose (l / learn-01))
The book is for viewing.	(b / book :purpose (v / view-01))
The book is for studying.	(b / book :purpose (s / study-01))
The book is for enjoying.	(b / book :purpose (e / enjoy-01))
